Pokemon Id,Pokedex Number,Pokemon Name,Classification,Alternate Form Name,Original Pokemon ID,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Male Ratio,Female Ratio,Base Happiness,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Catch Rate,Experience Growth,Experience Growth Total,Primary Egg Group,Secondary Egg Group,Egg Cycle Count,Pre-Evolution Pokemon Id,Evolution Details,Power Ranking
76,16,Pidgey,Tiny Bird Pokémon,NULL,NULL,NULL,0.3,1.8,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tangled Feet,Raises evasiveness if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering effects.,50.0,50.0,50,40,45,40,35,35,56,251,255,Medium Slow,1059860,Flying,NULL,15,NULL,NULL,G
77,17,Pidgeotto,Bird Pokémon,NULL,NULL,NULL,1.1,30.0,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tangled Feet,Raises evasiveness if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering effects.,50.0,50.0,50,63,60,55,50,50,71,349,120,Medium Slow,1059860,Flying,NULL,15,76.0,Level 18,F
78,18,Pidgeot,Bird Pokémon,NULL,NULL,NULL,1.5,39.5,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,Tangled Feet,Raises evasiveness if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering effects.,50.0,50.0,50,83,80,75,70,70,101,479,45,Medium Slow,1059860,Flying,NULL,15,77.0,Level 36,E
79,18,Pidgeot,Bird Pokémon,Mega,78.0,NULL,2.2,50.5,Normal,Flying,No Guard,The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.,NULL,NULL,NULL,NULL,50.0,50.0,70,83,80,80,135,80,121,579,45,Medium Slow,1059860,Flying,NULL,15,NULL,NULL,B
80,19,Rattata,Mouse Pokémon,NULL,NULL,NULL,0.3,3.5,Normal,NULL,Run Away,Enables a sure getaway from wild Pokémon.,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Hustle,"Boosts the Attack stat, but lowers accuracy.",50.0,50.0,50,30,56,35,25,35,72,253,255,Medium Fast,1000000,Field,NULL,15,NULL,NULL,G
81,19,Rattata,Mouse Pokémon,Alola,80.0,NULL,0.3,3.8,Dark,Normal,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Hustle,"Boosts the Attack stat, but lowers accuracy.",Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",50.0,50.0,70,30,56,35,25,35,72,253,255,Medium Fast,1000000,Field,NULL,15,NULL,NULL,G
82,20,Raticate,Mouse Pokémon,NULL,NULL,NULL,0.7,18.5,Normal,NULL,Run Away,Enables a sure getaway from wild Pokémon.,Guts,It's so gutsy that having a status condition boosts the Pokémon's Attack stat.,Hustle,"Boosts the Attack stat, but lowers accuracy.",50.0,50.0,50,55,81,60,50,70,97,413,127,Medium Fast,1000000,Field,NULL,15,80.0,Level 20,F
83,20,Raticate,Mouse Pokémon,Alola,82.0,NULL,0.7,25.5,Dark,Normal,Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Hustle,"Boosts the Attack stat, but lowers accuracy.",Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",50.0,50.0,70,75,71,70,40,80,77,413,127,Medium Fast,1000000,Field,NULL,15,81.0,Level 20,F
84,21,Spearow,Tiny Bird Pokémon,NULL,NULL,NULL,0.3,2.0,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,NULL,NULL,Sniper,Powers up moves if they become critical hits when attacking.,50.0,50.0,50,40,60,30,31,31,70,262,255,Medium Fast,1000000,Flying,NULL,15,NULL,NULL,G
85,22,Fearow,Beak Pokémon,NULL,NULL,NULL,1.2,38.0,Normal,Flying,Keen Eye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,NULL,NULL,Sniper,Powers up moves if they become critical hits when attacking.,50.0,50.0,50,65,90,65,61,61,100,442,90,Medium Fast,1000000,Flying,NULL,15,84.0,Level 20,E
86,23,Ekans,Snake Pokémon,NULL,NULL,NULL,2.0,6.9,Poison,NULL,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,50.0,50.0,50,35,60,44,40,54,55,288,255,Medium Fast,1000000,Field,Dragon,20,NULL,NULL,G
87,24,Arbok,Cobra Pokémon,NULL,NULL,NULL,3.5,65.0,Poison,NULL,Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.",Shed Skin,The Pokémon may heal its own status conditions by shedding its skin.,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.,50.0,50.0,50,60,95,69,65,79,80,448,90,Medium Fast,1000000,Field,Dragon,20,86.0,Level 22,D
89,25,Pikachu,Mouse Pokémon,NULL,NULL,NULL,0.4,6.0,Electric,NULL,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",NULL,NULL,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",50.0,50.0,50,35,55,40,50,50,90,320,190,Medium Fast,1000000,Field,Fairy,10,88.0,NULL,F
1523,25,Pikachu,Mouse Pokémon,Gigantamax,89.0,NULL,21.0,0.0,Electric,NULL,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",NULL,NULL,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",50.0,50.0,50,35,55,40,50,50,90,320,190,Medium Fast,1000000,Field,Fairy,10,NULL,NULL,S
1595,25,Pikachu,Mouse Pokémon,Starter,89.0,NULL,0.4,6.0,Electric,NULL,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",NULL,NULL,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",50.0,50.0,70,45,80,50,75,60,120,430,190,Medium Fast,1000000,Field,Fairy,10,NULL,NULL,D
90,26,Raichu,Mouse Pokémon,NULL,NULL,NULL,0.8,30.0,Electric,NULL,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",NULL,NULL,Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",50.0,50.0,50,60,90,55,90,80,110,485,75,Medium Fast,1000000,Field,Fairy,10,89.0,Thunder Stone,D
91,26,Raichu,Mouse Pokémon,Alola,90.0,NULL,0.7,21.0,Electric,Psychic,Surge Surfer,Doubles the Pokémon's Speed stat on Electric Terrain.,NULL,NULL,NULL,NULL,50.0,50.0,50,60,85,50,95,85,110,485,75,Medium Fast,1000000,Field,Fairy,10,89.0,Thunder Stone in Alola,D
92,27,Sandshrew,Mouse Pokémon,NULL,NULL,NULL,0.6,12.0,Ground,NULL,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,NULL,NULL,Sand Rush,Boosts the Pokémon's Speed stat in a sandstorm.,50.0,50.0,50,50,75,85,20,30,40,300,255,Medium Fast,1000000,Field,NULL,20,NULL,NULL,G
93,27,Sandshrew,Mouse Pokémon,Alola,92.0,NULL,0.7,40.0,Ice,Steel,Snow Cloak,Boosts evasiveness in a hailstorm.,NULL,NULL,Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.,50.0,50.0,50,50,75,90,10,35,40,300,255,Medium Fast,1000000,Field,NULL,20,NULL,NULL,G
94,28,Sandslash,Mouse Pokémon,NULL,NULL,NULL,1.0,29.5,Ground,NULL,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,NULL,NULL,Sand Rush,Boosts the Pokémon's Speed stat in a sandstorm.,50.0,50.0,50,75,100,110,45,55,65,450,90,Medium Fast,1000000,Field,NULL,20,92.0,Level 22,E
95,28,Sandslash,Mouse Pokémon,Alola,94.0,NULL,1.2,55.0,Ice,Steel,Snow Cloak,Boosts evasiveness in a hailstorm.,NULL,NULL,Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.,50.0,50.0,50,75,100,120,25,65,65,450,90,Medium Fast,1000000,Field,NULL,20,93.0,Ice Stone,E
33,29,Nidoran (Female),Poison Pin Pokémon,NULL,NULL,NULL,0.4,7.0,Poison,NULL,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",0.0,100.0,50,55,47,52,40,40,41,275,235,Medium Slow,1059860,Monster,Field,20,NULL,NULL,G
17,30,Nidorina,Poison Pin Pokémon,NULL,NULL,NULL,0.8,20.0,Poison,NULL,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",0.0,100.0,50,70,62,67,55,55,56,365,120,Medium Slow,1059860,No Eggs Discovered,NULL,20,33.0,Level 16,F
18,31,Nidoqueen,Drill Pokémon,NULL,NULL,NULL,1.3,60.0,Poison,Ground,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Sheer Force,Removes additional effects to increase the power of moves when attacking.,0.0,100.0,50,90,92,87,75,85,76,505,45,Medium Slow,1059860,No Eggs Discovered,NULL,20,17.0,Moon Stone,C
48,32,Nidoran (Male),Poison Pin Pokémon,NULL,NULL,NULL,0.5,9.0,Poison,NULL,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",100.0,0.0,50,46,57,40,40,40,50,273,235,Medium Slow,1059860,Monster,Field,20,NULL,NULL,G
49,33,Nidorino,Poison Pin Pokémon,NULL,NULL,NULL,0.9,19.5,Poison,NULL,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",100.0,0.0,50,61,72,57,55,55,65,365,120,Medium Slow,1059860,Monster,Field,20,48.0,Level 16,F
50,34,Nidoking,Drill Pokémon,NULL,NULL,NULL,1.4,62.0,Poison,Ground,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Sheer Force,Removes additional effects to increase the power of moves when attacking.,100.0,0.0,50,81,102,77,85,75,85,505,45,Medium Slow,1059860,Monster,Field,20,49.0,Moon Stone,C
52,35,Clefairy,Fairy Pokémon,NULL,NULL,NULL,0.6,7.5,Fairy,NULL,Cute Charm,Contact with the Pokémon may cause infatuation.,Magic Guard,The Pokémon only takes damage from attacks.,Friend Guard,Reduces damage done to allies.,25.0,75.0,140,70,45,48,60,65,35,323,150,Fast,800000,Fairy,NULL,20,51.0,NULL,F
53,36,Clefable,Fairy Pokémon,NULL,NULL,NULL,1.3,40.0,Fairy,NULL,Cute Charm,Contact with the Pokémon may cause infatuation.,Magic Guard,The Pokémon only takes damage from attacks.,Unaware,"When attacking, the Pokémon ignores the target Pokémon's stat changes.",25.0,75.0,140,95,70,73,95,90,60,483,25,Fast,800000,Fairy,NULL,10,52.0,Moon Stone,D
54,37,Vulpix,Fox Pokémon,NULL,NULL,NULL,0.6,9.9,Fire,NULL,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,NULL,NULL,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,25.0,75.0,50,38,41,40,50,65,65,299,190,Medium Fast,1000000,Field,NULL,20,NULL,NULL,G
55,37,Vulpix,Fox Pokémon,Alola,54.0,NULL,0.6,9.9,Ice,NULL,Snow Cloak,Boosts evasiveness in a hailstorm.,NULL,NULL,Snow Warning,The Pokémon makes it snow when it enters a battle.,25.0,75.0,50,38,41,40,50,65,65,299,190,Medium Fast,1000000,Field,NULL,20,NULL,NULL,G
56,38,Ninetales,Fox Pokémon,NULL,NULL,NULL,1.1,19.9,Fire,NULL,Flash Fire,Powers up the Pokémon's Fire-type moves if it's hit by one.,NULL,NULL,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,25.0,75.0,50,73,76,75,81,100,100,505,75,Medium Fast,1000000,Field,NULL,20,54.0,Fire Stone,B
57,38,Ninetales,Fox Pokémon,Alola,56.0,NULL,1.1,19.9,Ice,Fairy,Snow Cloak,Boosts evasiveness in a hailstorm.,NULL,NULL,Snow Warning,The Pokémon makes it snow when it enters a battle.,25.0,75.0,50,73,67,75,81,100,109,505,75,Medium Fast,1000000,Field,NULL,20,55.0,Ice Stone,A
59,39,Jigglypuff,Balloon Pokémon,NULL,NULL,NULL,0.5,5.5,Normal,Fairy,Cute Charm,Contact with the Pokémon may cause infatuation.,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Friend Guard,Reduces damage done to allies.,25.0,75.0,50,115,45,20,45,25,20,270,170,Fast,800000,Fairy,NULL,10,58.0,NULL,G
60,40,Wigglytuff,Balloon Pokémon,NULL,NULL,NULL,1.0,12.0,Normal,Fairy,Cute Charm,Contact with the Pokémon may cause infatuation.,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.,Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.",25.0,75.0,50,140,70,45,85,50,45,435,50,Fast,800000,Fairy,NULL,10,59.0,Moon Stone,E
61,41,Zubat,Bat Pokémon,NULL,NULL,NULL,0.8,7.5,Poison,Flying,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",NULL,NULL,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",50.0,50.0,50,40,45,35,30,40,55,245,255,Medium Fast,1000000,Flying,NULL,15,NULL,NULL,G
62,42,Golbat,Bat Pokémon,NULL,NULL,NULL,1.6,55.0,Poison,Flying,Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",NULL,NULL,Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.",50.0,50.0,50,75,80,70,65,75,95,460,90,Medium Fast,1000000,Flying,NULL,15,61.0,Level 22,E
64,43,Oddish,Weed Pokémon,NULL,NULL,NULL,0.5,5.4,Grass,Poison,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,NULL,NULL,Run Away,Enables a sure getaway from wild Pokémon.,50.0,50.0,50,45,50,55,75,65,30,320,255,Medium Slow,1059860,Grass,NULL,20,NULL,NULL,F
65,44,Gloom,Weed Pokémon,NULL,NULL,NULL,0.8,8.6,Grass,Poison,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,NULL,NULL,Stench,"By releasing stench when attacking, this Pokémon may cause the target to flinch.",50.0,50.0,50,60,65,70,85,75,40,395,120,Medium Slow,1059860,Grass,NULL,20,64.0,Level 21,F
66,45,Vileplume,Flower Pokémon,NULL,NULL,NULL,1.2,18.6,Grass,Poison,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.,NULL,NULL,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",50.0,50.0,50,75,80,85,110,90,50,490,45,Medium Slow,1059860,Grass,NULL,20,65.0,Leaf Stone,E
68,46,Paras,Mushroom Pokémon,NULL,NULL,NULL,0.3,5.4,Bug,Grass,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",Dry Skin,"Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.",Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",50.0,50.0,50,35,70,55,45,55,25,285,190,Medium Fast,1000000,Bug,Grass,20,NULL,NULL,G
69,47,Parasect,Mushroom Pokémon,NULL,NULL,NULL,1.0,29.5,Bug,Grass,Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",Dry Skin,"Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.",Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",50.0,50.0,50,60,95,80,60,80,30,405,75,Medium Fast,1000000,Bug,Grass,20,68.0,Level 24,F
70,48,Venonat,Insect Pokémon,NULL,NULL,NULL,1.0,30.0,Bug,Poison,Compound Eyes,The Pokémon's compound eyes boost its accuracy.,Tinted Lens,"The Pokémon can use ""not very effective"" moves to deal regular damage.",Run Away,Enables a sure getaway from wild Pokémon.,50.0,50.0,50,60,55,50,40,55,45,305,190,Medium Fast,1000000,Bug,NULL,20,NULL,NULL,F
71,49,Venomoth,Poison Moth Pokémon,NULL,NULL,NULL,1.5,12.5,Bug,Poison,Shield Dust,This Pokémon's dust blocks the additional effects of attacks taken.,Tinted Lens,"The Pokémon can use ""not very effective"" moves to deal regular damage.",Wonder Skin,Makes status moves more likely to miss.,50.0,50.0,50,70,65,60,90,75,90,450,75,Medium Fast,1000000,Bug,NULL,20,70.0,Level 31,E
72,50,Diglett,Mole Pokémon,NULL,NULL,NULL,0.2,0.8,Ground,NULL,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,Arena Trap,Prevents opposing Pokémon from fleeing.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",50.0,50.0,50,10,55,25,35,45,95,265,255,Medium Fast,1000000,Field,NULL,20,NULL,NULL,G
74,50,Diglett,Mole Pokémon,Alola,72.0,NULL,0.2,1.0,Ground,Steel,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,Tangling Hair,Contact with the Pokémon lowers the attacker's Speed stat.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",50.0,50.0,50,10,55,30,35,45,90,265,255,Medium Fast,1000000,Field,NULL,20,NULL,NULL,G
75,51,Dugtrio,Mole Pokémon,Alola,73.0,NULL,0.7,66.6,Ground,Steel,Sand Veil,Boosts the Pokémon's evasiveness in a sandstorm.,Tangling Hair,Contact with the Pokémon lowers the attacker's Speed stat.,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",50.0,50.0,50,35,100,60,50,70,110,425,50,Medium Fast,1000000,Field,NULL,20,74.0,Level 26 In Alola,D
